instance,algorithm,variant,K,N,M,time_seconds,cost,num_influencers,covered_count,success,stdout_snippet
ninstance_418.txt,bt,macro,5,25,20,0.004981,389,4,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1 2 3
Costo total: 389"
ninstance_418.txt,bt,macro,10,25,20,0.005972,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_419.txt,fb,todos,,100,10,0.005260,622,2,100,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 622"
ninstance_419.txt,fb,micro,5,100,10,0.004591,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_419.txt,fb,micro,10,100,10,0.004882,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_419.txt,fb,macro,5,100,10,0.005276,622,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 622"
ninstance_419.txt,fb,macro,10,100,10,0.005942,622,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 622"
ninstance_419.txt,bt,todos,,100,10,0.005498,622,2,100,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1
Costo total: 622"
ninstance_419.txt,bt,micro,5,100,10,0.005218,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_419.txt,bt,micro,10,100,10,0.004763,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_419.txt,bt,macro,5,100,10,0.005216,622,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1
Costo total: 622"
